"TIA","Albania","AV INTERNATIONAL-A/AV INTERNATIONAL/","1","3.35834","**Perflight Fees are not included.  HOOK-UP FEE: 10** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Hours of Operation: From 07:00 to 23:00 Monday to Sunday (Except holidays) & On call 24 /7 2) Ramps serviced: All ramps. 3) Additional Information: Below fees may apply: Refuelling outside Operating schedule time Refuelling on Official Bank Holiday Refuelling below 1.000 Liter No fuel charge (In case no refuel outside operating hours request or in case the operators goes underwing to the operator request) Refuelling with passengers during embarking, disembarking, on board. Excise and Carbon Tax VAT for Domestic flights. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"ABJ","Cote d'Ivoire","OLA ENERGY COTE D'IVOIRE-A/OLA AVIATION FUELS SUPPLY DMCC/","1","2.68959","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Minimum Notice Required: 48 Hours notice needed Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com</pF","31-Dec-25"
"ASK","Cote d'Ivoire","OLA ENERGY COTE D'IVOIRE-A/OLA AVIATION FUELS SUPPLY DMCC/","1","4.65546","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","31-Dec-25"
"BWK","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","3.08014","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 0700-1900 Local 2) Ramps serviced: All ramps. 3) Additional Information: If applicable: Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply . *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"DBV","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","2.88552","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: 24 Hours Operation 2) Ramps serviced: All ramps. 3) Additional Information: If applicable: Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply. *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"LSZ","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","3.1407","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 2) Ramps serviced: All ramps. 3) Additional Information: If applicable: Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply . *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"OSI","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","3.12556","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: From 06.00 to 22.00 local. 2) Ramps serviced: All ramps. 3) Additional Information: If applicable: Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL), Out of hours fee and Zero uplift fees may apply . *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. Jet A-1 and AVGAS available. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"PUY","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","2.82038","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 0700-1900 local. 2) Ramps serviced: All ramps. 3) Additional Information: If applicable: Out of hours fee, Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply . *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"RJK","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","2.89469","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: From 0700-1900 local. 2) Ramps serviced: All ramps. 3) Additional Information: If applicable: Out-of-hours fee, Low volume fee (300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply. *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"SPU","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","2.90514","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24 /7 Operation. 2) Ramps serviced: All aprons. 3) Additional Information: If applicable: Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply . *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"ZAD","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","2.92442","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 0700-1900 Local 2) Ramps serviced: All Ramps - Including military ramp 3) Additional Information: If applicable: Out-of-hours, Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply . *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated. *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"ZAG","Croatia","INA AVIOSERVIS AIRPORT-A/INA INDUSTRIJA NAFTE DD/","1","2.81975","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation. 2) Additional Information: If applicable: Out-of-hours fee, Low volume fee ( 300 litres of less for JET A-1 & 50 litres or less for Avgas 100 LL) and Zero uplift fees may apply . *** Supplier will require VAT exemption certificate for air carriers stating that over 50% of total annual transport includes international transport services or if these are recognized by international traffic agreements. *** Commercial flights are exempted of taxes (AOC + VAT exemption certificate have to be presented. FAILURE TO DO SO WILL INCUR EXCISE DUTY TAX.) *** For private flights (domestic or international) all taxes will be calculated *** V.A.T. will apply for all domestic flights within Croatia . Commercial airlines who fly privately will not pay VAT, if they have VAT exemption certificate. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"815","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"BCA","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"CCC","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"CFG","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"CMW","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"CYO","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"GAO","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: None Required 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"HAV","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"HOG","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"MZO","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"SCU","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","*** NOTAM in place. Airport closed due to hurricane Melissa *** 1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"SNU","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"VRA","Cuba","ECASA-A/ECASA/","1","4.31361","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum notice required: Nil. 2) Ramps serviced : All Ramps 3) Additional Information: All flights from/to Cuba require further authorization, for more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"CUR","Curacao","CUROIL-A/CUROIL NV/TRUCK","1","2.81824","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: At least 30 min in advance. 2) Ramps serviced: All. 3) Additional Information: General aviation ramp operated by Jet Centre Curacao For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"AKT","Cyprus","ROYAL AIR FORCE-A/DEFENCE BUSINESS SERVICES/","1","3.25389","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: MINIMUM OF 72 HOURS TO ARRANGE FUEL- OPERATORS MUST HAVE PRIOR PERMISSION FROM THE AIRBASE PRIOR LANDING 2) Ramps serviced: Military Air base 3) Additional Information: FUEL TYPE IS AVTUR / F34 / FSII Fuel cannot be arranged out-of-hours or weekends OPERATOR MUST CARRY A COPY OF THE SALES ORDER ONBOARD THE AIRCRAFT Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","01-Dec-25"
"LCA","Cyprus","PPT AVIATION-ADHOC CHARTER-A/PPT AVIATION SERVICES LTD/","1","2.99179","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24 Hours 2) Ramps serviced: All ramps 3) Additional Information: ** AOC, CUSTOMS DECLARATION AND LEASE AGREEMENT MUST BE PROVIDED TO CUSTOMS IN ORDER TO RECEIVE MOT EXCEMPTION ** For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"PFO","Cyprus","PPT AVIATION-ADHOC CHARTER-A/PPT AVIATION SERVICES LTD/","1","2.94279","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: 24/7 Operation 2) Ramps serviced: No access to Military ramp 3) Additional Information: AOC, CUSTOMS DECLARATION AND LEASE AGREEMENT MUST BE SENT TO FUEL24@WFSCORP.COM IN ORDER TO RECEIVE MOT EXCEMPTION For more information please contact your local fuel logistics team on fuel24@wfscorp.com","31-Dec-25"
"BRQ","Czechia","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","4.36552","**Perflight Fees are not included.  HOOK-UP FEE: 30,  INTOPLANE FEE: 34.8748** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","** Minimum fee applies at this location ** 1) Minimum Notice Required: 12 hours. Operating times: 24/7 2) Ramps serviced: All ramps 3) Additional Information: If applicable Small Uplift ( For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"KLV","Czechia","AIR TOTAL-A/AIR TOTAL INTERNATIONAL/","1","3.73423","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Minimum Notice Required: As much notice as possible 2) Ramps serviced: All ramps 3) Additional Information: Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"OSR","Czechia","BALTIC GROUND SERVICES-A/BALTIC GROUND SERVICES CZ SRO/","1","3.63333","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","*Pre-clearance for refuelling may be required - our GFL Team will be able to advise you on further details. 1) Operating Hours : 24/7 Operation . Peak Hours: 0900-1100Z 2) Ramps serviced: All but restricted areas of the airport 3) Additional Information: If the amount of fuel requested is more than 20 metric tons, the request must be received no later than 48 hours before ETA ** VAT applies ** Fees are subject to change without prior notice For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"PED","Czechia","EAST BOHEMIAN A/P-A/EAST BOHEMIAN AIRPORT AS/","1","4.22319","**Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: Winter: 06:00 - 18:00 GMT / Summer: 0500 - 1700 GMT Please allow 48hrs prior notice Additional Information: Excise tax is applicable for private flights and if the correct documentation is not signed by the captain prior to refuelling Excise tax will be charged For more information please contact your local fuel logistics team on fuel24@wfscorp.com","09-Dec-25"
"PRG","Czechia","CZECH AIRLINES HANDLING, A.S.-ADHOC FLIGHTS ONLY-A/CZECH AIRLINES HANDLING, A.S/","1","2.77332","**Perflight Fees are not included.  HOOK-UP FEE: 40** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","** Minimum fee applies at this location ** 1) Operating Hours: 24/7 Operation 2) Ramps serviced: All ramps. 3) Additional Information: Fees apply Fees are subject to change without prior notice. COPY OF AOC & VAT MUST BE PRESENTED AT THE TIME OF REFUELING TO AVOID TAXES. For more information please contact your local fuel logistics team on fuel24@wfscorp.com","15-Dec-25"
"AAL","Denmark","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","4.03998","**Perflight Fees are not included.  HOOK-UP FEE: 62.27812,  INFRASTRUCTURE FEE: 23.3543** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","1) Operating Hours: Sun-Fri. 05:30-22:00 Sat. 5:30-20:00 2) Additional Information: If applicable Extended Wing and/or No Fuel fees may apply. Fees are subject to change without prior notice For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com","15-Dec-25"
"AAR","Denmark","SHELL-A/EQUILON ENTERPRISES LLC DBA SHELL OIL PRODUCTS US/","1","3.99748","**Perflight Fees are not included.  HOOK-UP FEE: 62.27812,  INFRASTRUCTURE FEE: 23.3543** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","Operating Hours: 6:00-22:00 local /// NATIONAL HOLIDAY AD OPENING HOURS 13/05-2021 0400-1400 14/05-2021 AD CLSD 15/05-2021 AD CLSD 16/05-2021 1400-2000 Ramps serviced: CAN FUEL ANYWHERE ON THE AIRPORT Additional Information: If applicable Extended Wing and/or No Fuel fees may apply. Fees are subject to change without prior notice For more information please contact your local Fuel Logistics team on fuel24@wfscorp.com","15-Dec-25"
"BLL","Denmark","AIR BP-A/BP AVIATION A/S/","1","2.90748","**Perflight Fees are not included.  HOOK-UP FEE: 63.83507** **Due to the dynamic nature of the exemptions granted to many operators, the Contract Price does not reflect V.A.T. / G.S.T., Mineral Oil Taxes, Federal Excise Taxes or other taxes to which an operator may be exempt.  Please contact your salesperson or World Fuel Services if you require assistance in generating a fuel price estimate.** **Price for fuel item: JET FUEL**","N/A","14-Dec-25"
