IATA,ICAO,ST/CO,CITY,FUELER,EFFECTIVE DATE,EXPIREDT,RESTRICTIONS,BASEFUEL,MIN GALLONS,MAX GALLONS,TOTAL PRICE,NOTES,Taxes Included
EDI,EGPH,GB,EDINBURGH,SIGNATURE AVIATION.,12/9/2025,12/15/2025,Corporate,4.640239,1,99999,5.568287,"INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS.

2025 SAF FEE MAY APPLY ",Yes
PIK,EGPK,GB,PRESTWICK,GLASGOW PRESTWICK AIRPORT LIMITED,12/1/2025,12/31/2025,Corporate,3.906698,1,528,4.688038,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. PRICE ESTIMATE IS SUBJECT TO EXCHANGE RATE FLUCTUATIONS. ,Yes
PIK,EGPK,GB,PRESTWICK,GLASGOW PRESTWICK AIRPORT LIMITED,12/1/2025,12/31/2025,Corporate,3.906698,528,26416,4.552104,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. PRICE ESTIMATE IS SUBJECT TO EXCHANGE RATE FLUCTUATIONS. ,Yes
DND,EGPN,GB,DUNDEE,DUNDEE AIRPORT,5/1/2025,12/31/2025,Corporate,3.901993,1,99999,4.682392,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. PRICING SUBJECT TO CHANGE AT ANY TIME ,No
SYY,EGPO,GB,STORNOWAY,AIR BP VIA NORTH AIR - GA,12/8/2025,12/14/2025,Corporate,5.451774,1,999999,6.847997,"GENERAL AVIATION AND MILITARY FUELINGS. 10 GBP/UPLIFT HOOK UP FEE. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. 100 GBP NO FUEL FEE AS APPLICABLE. 150 GBP OUT OF HOURS FEE, 20 GBP OVERWING FEE, 50 GBP /HR OVERTIME FEE MAY APPLY. 50 GBP MINIMUM UPLIFT FEE FOR < 200 LTRS. ",No
FSS,EGQK,GB,ELGIN,RAF KINLOSS,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
ADX,EGQL,GB,ST ANDREWS,KOHLER SCOTLAND LTD.,4/1/2025,11/30/2025,Corporate,6.784978,1,99999,8.141974,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. ,No
LMO,EGQS,GB,ELGIN,RAF LOSSIEMOUTH,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
CBG,EGSC,GB,CAMBRIDGE,CAMBRIDGE JET CENTRE,12/1/2025,12/31/2025,Corporate,5.224253,1,2641,6.486598,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. CAN FUEL AT MRO & FBO RAMPS. ,No
CBG,EGSC,GB,CAMBRIDGE,CAMBRIDGE JET CENTRE,12/1/2025,12/31/2025,Corporate,5.224253,2641,264171,6.184522,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. CAN FUEL AT MRO & FBO RAMPS. ,No
NWI,EGSH,GB,NORWICH,NORWICH AIRPORT LIMITED,12/1/2025,12/31/2025,Corporate,6.662134,1,99999,8.196952,"HOOKUP FEE £53.25. SURCHARGE FOR UPLIFTS LESS THAN 250 LTRS OF £13,NSR. (NO SERVICE REQUIRED FOR ATTENDANCE TO A REFUEL REQUEST BUT NO FUEL TAKEN). £80, OUT OF HOURS SURCHARGE OUTSIDE OF 0400-
22.30 £135 PER HOUR. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. ",No
STN,EGSS,GB,LONDON STANSTED / STN,DIRECT- HARRODS AVIATION,12/9/2025,12/15/2025,Corporate,2.671774,1,99999,3.514166,"CAN FUEL ON ALL RAMPS. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. OPERATING HOURS: 24HRS.
Can fuel on all Northside ramps including Fayair, Universal, Inflite and Harrods. Fuelling call out fee of £320 for London Jet Centre (Southside)” ",No
STN,EGSS,GB,LONDON STANSTED / STN,Inflite Jet Centre Ltd,12/1/2025,12/31/2025,Corporate,2.930000,1,99999,3.715200,Inflite can fuel at Harrods/ fuel bowsers at Stansted. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. ,No
STN,EGSS,GB,LONDON STANSTED / STN,STANSTED INTOPLANE,12/9/2025,12/15/2025,Corporate,2.691774,1,99999,3.494551,"CAN FUEL ON ALL RAMPS.
INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. OPERATING HOURS: 24HRS.
HOOKUP FEE 35 GBP/UPLIFT.
LOW UPLIFT FEE 50 GBP/UPLIFT FOR < 1000 LT.
NIGHT SERVICE - OVERTIME (23:00 – 06:00) 80 GBP/UPLIFT.DEFUELING CHARGE 1000 GBP/UPLIFT. ",Yes
GSY,EGSY,GB,Cardiff,SWISSPORT FUELING,7/3/2025,12/31/2025,Corporate,CALL,1,999999,CALL,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. ,No
EXT,EGTE,GB,EXETER,EXETER AIRPORT (XLR EXECUTIVE JET CENTRE),12/1/2025,12/31/2025,Corporate,6.731108,1,99999,8.296637,"INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS.

 Out of Hours Charges Per Hour from Published Closing to Published Opening.
Less than 15t £960.00
Less than 73t £1,150.00
Less than 144t £1,330.00
Over 144t £1,735.00 ",No
OXF,EGTK,GB,LONDON - OXFORD,OXFORD AVIATION SERVICES,12/3/2025,12/9/2025,Corporate,5.048042,1,99999,6.057650,"INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS.
PRICING SUBJECT TO CHANGE AT ANY TIME. ",Yes
BEX,EGUB,GB,OXFORD,RAF BENSON,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED.INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. ,Yes
LKZ,EGUL,GB,SUFFOLK,LAKENHEATH OPS,12/9/2025,12/15/2025,Corporate,3.165000,1,99999,3.798000,": ALL REQUESTS FOR PRICING AND AUTHORIZATION MUST BE VALIDATED THROUGH DISPATCH@AEGFUELS.COM WITH NO LESS THAN 48 HOURS NOTICE FOR FUELINGS M-F AND 72 HOURS FOR WEEKEND FUELINGS. PRICING SUBJECT TO CHANGE AT ANY TIME. A VALID AOC MUST BE SHOWN AT THE TIME OF FUELING TO AVOID MOT CHARGES. FOR AIRCRAFT UNDER 12 TONNES, A PERMIT FROM GERMAN CUSTOMS IS REQUIRED TO AVOID MOT CHARGES.  INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. ",No
MHZ,EGUN,GB,MILDENHALL,RAF Mildenhall,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,No
FFD,EGVA,GB,-,FAIRFORD OPS,12/9/2025,12/15/2025,Corporate,3.165000,1,99999,3.798000,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS.ALL REQUESTS FOR PRICING AND AUTHORIZATION MUST BE VALIDATED THROUGH DISPATCH@AEGFUELS.COM WITH NO LESS THAN 48 HOURS NOTICE FOR FUELINGS M-F AND 72 HOURS FOR WEEKEND FUELINGS. ,Yes
BZZ,EGVN,GB,OXFORD - BRIZE NORTON,RAF BRIZE NORTON,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
ODH,EGVO,GB,ODIHAM,RAF ODIHAM,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED.INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
NHT,EGWU,GB,LONDON-NORTHOLT,RAF NORTHOLT - CIVILIAN SIDE,12/9/2025,12/15/2025,Corporate,4.411500,1,99999,5.743885,INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. PRICING SUBJECT SUBJECT TO CHANGE AT ANY TIME. CAN FUEL ON UNIVERSAL RAMP ,Yes
NHT,EGWU,GB,LONDON-NORTHOLT,WORLD FUEL SERVICES,12/9/2025,12/15/2025,Corporate,4.411500,1,999999,5.743885, ,No
QCY,EGXC,GB,CONINGSBY,RAF CONINGSBY,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
QXL,EGXE,GB,NORTHALLERTON,RAF LEEMING,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED.INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
HRT,EGXU,GB,YORK,RAF LINTON-ON-OUSE,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED.INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
WTN,EGXW,GB,LINCOLN,RAF WADDINGTON,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED. INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
KNF,EGYM,GB,MARHAM,RAF MARHAM,12/1/2025,12/31/2025,Corporate,3.227234,1,99999,3.872681,48 HOUR NOTICE & PPR TO LAND IS REQUIRED.INTERNAL FLIGHTS INCUR DUTIES AND 20% VAT FOR UPLIFTS > 2300 LTRS AND 5% FOR < 2300 LTRS. AEG DOES NOT OFFER VAT-EXEMPT FUEL FOR RESELLER CUSTOMERS AT UK LOCATIONS. F35 MAY INCUR DIFFERENT PRICING. ,Yes
MPN,EGYP,FK,MOUNT PLEASANT,STANLEY SERVICES,10/2/2025,12/31/2025,Corporate,4.670447,1,99999,4.670447,130 GBP ATTENDANCE FEE PER UPLIFT. ,Yes
AMS,EHAM,NL,AMSTERDAM,JET AVIATION - INTL (SOUTH),12/1/2025,12/31/2025,Corporate,3.444670,1,999999,7.884218,GENERAL AVIATION AND MILITARY FUELINGS. NO HOOK UP FEE APPLICABLE. ,No
AMS,EHAM,NL,AMSTERDAM,SPL VIA TOTAL,12/9/2025,12/15/2025,Corporate,2.438026,1,99999,7.341233,GA FUELINGS ONLY. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. 60 EURO HOOKUP FEE. 30 EURO NO SERVICE FEE ,No
QEK,EHBD,NL,BUDEL,LUCHTVAARTERREIN BUDEL B.V,12/1/2025,12/15/2025,Corporate,5.840888,1,999999,5.840888, ,No
MST,EHBK,NL,MAASTRICHT,SHELL AVIATION - GA,12/9/2025,12/15/2025,Corporate,2.828627,1,99999,6.905949,"GENERAL AVIATION. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. EXEMPTIONS FOR VAT/EXCISE TAX MAY BE PROVIDED FOR COMMERCIAL OPERATIONS WITH PROPER DOCUMENTATION INCLUDING AOC PRIOR TO FUELING. EXTENDED WINGS SERVICES LEVEL 2/3 AVAILABLE UPON REQUEST. 35 EURO HOOKUP FEE. 250 EURO CALLOUT, 75 EURO OVERTIME FEE AND 110 EURO MULTI-VEHICLE FEE WHEN APPLICABLE. 20 EURO LOW UPLIFT FEE FOR < 1000 LTRS WHEN APPLICABLE. 30 EURO INTO-PLANE FEE PER LIFT.

EXCISE DUTY ELEMENT 8 EUR/KL - CSO FEE ",No
EIN,EHEH,NL,EINDHOVEN,SKYTANKING / TOTAL ENERGIES AVIATION,12/9/2025,12/15/2025,Corporate,2.717012,1,99999,7.001497,HOOKUP FEE 30 EUR/UPLIFT. PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY. CANNOT ASSIST ON MILITARY SIDE OF THE AIRPORT ,Yes
GRQ,EHGG,NL,GRONINGEN,SHELL AVIATION,12/4/2024,12/31/2025,Corporate,8.623829,1,99999,13.912849,"PRICING INCLUSIVE OF ALL TAXES AND FEES KNOWN TO APPLY AND MAY FLUCTUATE WITH EXCHANGE RATE. 35 EUR HOOKUP FEE PER UPLIFT. 75 EUR OVERTIME FEE, 250 EUR CALLOUT CHARGE AND 110 EUR MULTI-VEHICLE FEE WHEN APPLICABLE. 30 EURO INTO-PLANE FEE PER LIFT. 20 EURO LOW UPLIFT FEE FOR < 1000 LTRS WHEN APPLICABLE. ",No
LEY,EHLE,NL,LELYSTAD,CHECK SIX B.V,11/12/2025,11/30/2025,Corporate,10.339101,1,999999,10.339101,"HOOK UP FEE 90 EUR FROM 07.00 - 18.00.
HOOK UP FEE 150 EUR FROM 18:00 – 07:00 OR DURING WEEKENDS.
EXCISE DUTIES HAVE TO BE CHARGED BUT CAN BE RECLAIMED FOR FLIGHTS THAT ARE EXEMPT OF EXCISE DUTIES. A FORM IS AVAILABLE ONLINE TO REQUEST A REFUND ON THOSE EXCISE DUTIES.’ ",No
RTM,EHRD,NL,ROTTERDAM,JET AVIATION - INTL (SOUTH),12/9/2025,12/15/2025,Corporate,3.519574,1,999999,8.856506,ALL PRIVATE FLIGHTS INCUR MOT AND VAT. ICAO FLIGHT PLAN MUST BE FILED CORRECTLY TO QUALIFY FOR EXEMPTION. PRICE MAY VARY DUE TO EXCHANGE RATE FLUCTUATIONS. CANNOT FUEL ON THE COMMERCIAL RAMP. ,No
RTM,EHRD,NL,ROTTERDAM,JET AVIATION - INTL -TECH STOP,12/9/2025,12/15/2025,Corporate,3.519574,1,99999,8.856506,ALL PRIVATE FLIGHTS INCUR MOT AND VAT. ICAO FLIGHT PLAN MUST BE FILED CORRECTLY TO QUALIFY FOR EXEMPTION. PRICE MAY VARY DUE TO EXCHANGE RATE FLUCTUATIONS. CANNOT FUEL ON THE COMMERCIAL RAMP. **NO PAX/CREW OR LUGGAGE TO BE OFFLOADED/UNLOADED FROM/TO THE A/C** ,No
ENS,EHTW,NL,ENSCHEDE,TWENTE AIRPORT,10/1/2025,12/31/2025,Corporate,9.166415,1,99999,9.166415,"24 HRS NOTICE, LANDING FEE 112 EUR, LANDING FEE AFTER 16:00 29.50 EUR EX VAT PER 15 MIN, HANDLING FEE 100 EUR, RFF3 100 EUR. ",No
ORK,EICK,IE,CORK,SHELL&TOPAZ AVIATION IRELAND,12/8/2025,12/14/2025,Corporate,3.751774,1,99999,4.554165,20 EUR HOOKUP FEE. 45 EUR LOW VOLUME FEE FOR UPLIFTS < 1000 LTRS. INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. PRICE VALID AT WESTON AVIATION. ,No
ORK,EICK,IE,CORK,WESTON AVIATION,12/8/2025,12/14/2025,Corporate,4.007704,1,99999,4.880166,INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. 20 EURO HOOKUP FEE AND 50 EURO DISTRIBUTION FEE APPLY. Can fuel on Swissport's ramp ,Yes
CFN,EIDL,IE,DONEGAL,DONEGAL AIRPORT,11/14/2025,11/30/2025,Corporate,CALL,1,999999,CALL,Normal hours of Opening are 0900 – 1700 hrs local ,No
DUB,EIDW,IE,DUBLIN,DUBLIN AIRPORT FUELING,12/9/2025,12/15/2025,Corporate,3.186495,1,1000,3.918520,"PRIVATE/INTERNAL FLIGHTS INCUR VAT.

AVERAGE OF ARGUS RED SAF CIF NWE HIGH PRIOR WEEK PLUS SAF HANDLING PREMIUM 600.00 USD/M3 APPLICABLE TO 2% OF UPLIFTED VOLUME. ",No
DUB,EIDW,IE,DUBLIN,DUBLIN AIRPORT FUELING,12/9/2025,12/15/2025,Corporate,3.186495,1001,999999,3.475870,"PRIVATE/INTERNAL FLIGHTS INCUR VAT.

AVERAGE OF ARGUS RED SAF CIF NWE HIGH PRIOR WEEK PLUS SAF HANDLING PREMIUM 600.00 USD/M3 APPLICABLE TO 2% OF UPLIFTED VOLUME. ",No
DUB,EIDW,IE,DUBLIN,FINGAL AVIATION SERVICES,12/8/2025,12/14/2025,Corporate,2.751274,1,264171,3.751611,GA FUELINGS ONLY PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. ABLE TO FUEL ON SIGNATURE RAMP. 45 EUR/UPLIFT FOR UPLIFT VOLUME LESS THAN 1000L ,No
DUB,EIDW,IE,DUBLIN,SIGNATURE AVIATION.,12/9/2025,12/15/2025,Corporate,3.657745,1,99999,4.151541,"PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. CAN FUEL ON UNIVERSAL'S RAMP.

2025 SAF FEE MAY APPLY ",Yes
NOC,EIKN,IE,CHARLESTOWN,FINGAL AVIATION SERVICES,12/9/2025,12/15/2025,Corporate,3.846495,1,999999,4.661673,"ADDITIONAL DISTRIBUTION FIXED 45 EUR.
HOOK UP FEE 20 EUR. ",No
KIR,EIKY,IE,KILLARNEY,KERRY AIRPORT,12/1/2025,12/31/2025,Corporate,4.440666,1,528,5.099753,GENERAL AVIATION. PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. CAN FUEL AT WESTON AVIATION. ,No
KIR,EIKY,IE,KILLARNEY,KERRY AIRPORT,12/1/2025,12/31/2025,Corporate,4.440666,529,99999,4.848676,GENERAL AVIATION. PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. CAN FUEL AT WESTON AVIATION. ,No
SNN,EINN,IE,SHANNON,EXOLUM,12/9/2025,12/15/2025,Corporate,2.821774,1,99999,3.396053,"GA with uplift > 5,000 USG.AIRCRAFT. PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. DEFUELLING FEE 15.00 USC/USG MIN 200.00 USD ",No
SNN,EINN,IE,SHANNON,EXOLUM,12/9/2025,12/15/2025,Corporate,2.901774,1,5000,3.486853,"GENERAL AVIATION.  with uplift < 5,000 USG. CAN FUEL AT SHANNON AEROSPACE MX FACILITY, SIGNATURE AND UNIVERSAL AVIATION. PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. DEFUELING CHARGE 15.00 USD/USG MIN 200.00 USD

EXOLUM CAN FUEL ON SIGNATURES RAMP ",No
SNN,EINN,IE,SHANNON,EXOLUM,12/9/2025,12/15/2025,Corporate,2.901774,5001,99999,3.486853,"GENERAL AVIATION.  with uplift < 5,000 USG. CAN FUEL AT SHANNON AEROSPACE MX FACILITY, SIGNATURE AND UNIVERSAL AVIATION. PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. DEFUELING CHARGE 15.00 USD/USG MIN 200.00 USD

EXOLUM CAN FUEL ON SIGNATURES RAMP ",No
SNN,EINN,IE,SHANNON,EXOLUM,12/9/2025,12/15/2025,Corporate,2.961495,1,5000,3.520764,"GENERAL AVIATION. PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. CAN FUEL AT SIGNATURE. OPERATING HOURS: 24HRS.
GA deliveries less than 5,000 USG.

AVERAGE OF ARGUS RED SAF CIF NWE HIGH PRIOR WEEK PLUS SAF HANDLING PREMIUM 600.00 USD/M3 APPLICABLE TO 2% OF UPLIFTED VOLUME. ",No
SNN,EINN,IE,SHANNON,EXOLUM,12/9/2025,12/15/2025,Corporate,2.961495,5001,99999,3.339164,"GENERAL AVIATION. PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. CAN FUEL AT SIGNATURE. OPERATING HOURS: 24HRS.
GA deliveries less than 5,000 USG.

AVERAGE OF ARGUS RED SAF CIF NWE HIGH PRIOR WEEK PLUS SAF HANDLING PREMIUM 600.00 USD/M3 APPLICABLE TO 2% OF UPLIFTED VOLUME. ",No
SNN,EINN,IE,SHANNON,SIGNATURE AVIATION.,12/9/2025,12/15/2025,Corporate,3.074319,1,99999,3.489352,"PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT

2025 SAF FEE MAY APPLY ",Yes
WAT,EIWF,IE,WATERFORD,Waterford Airport - WAT,12/9/2025,12/15/2025,Corporate,3.018770,1,99999,4.677414,PRIVATE/INTERNAL/RESELLER FLIGHTS INCUR 13.5% VAT. PRICING SUBJECT TO CHANGE WITHOUT NOTICE. ,No
AAR,EKAH,DK,AARHUS,DCC & SHELL AVIATION DENMARK A/S,12/9/2025,12/15/2025,Corporate,3.701774,1,99999,7.614749,PRIVATE/INTERNAL FLIGHTS INCUR MOT. RESELLERS INCUR VAT ON ALL UPLIFTS. 400 DKK HOOKUP FEE. INFRASTRUCTURE FEE 150.000000 DKK/LIFT. Extended Wing Service 110 DKK. ,No
BLL,EKBI,DK,BILLUND,DCC & SHELL AVIATION DENMARK A/S,12/9/2025,12/15/2025,Corporate,2.656774,1,99999,6.578278,PRIVATE/INTERNAL FLIGHTS INCUR MOT. RESELLERS INCUR VAT ON ALL UPLIFTS. 400 DKK HOOKUP FEE. INFRASTRUCTURE FEE 150.000000 DKK/LIFT. Extended Wing Service 110 DKK. ,No
CPH,EKCH,DK,COPENHAGEN,DANISH REFUELLING SERVICES - GA,12/1/2025,12/31/2025,Corporate,2.838821,1,99999,6.749203,GENERAL AVIATION AND MILITARY FUELINGS. PRIVATE/INTERNAL FLIGHTS INCUR MOT. RESELLERS INCUR VAT ON ALL UPLIFTS. 322 DKK HOOKUP FEE. 6000 DKK DEFUELLING FEE. 215 DKK SMALL UPLIFT FEE BELOW 1000 LTRS. ,No
EBJ,EKEB,DK,ESBJERG,DCC & SHELL AVIATION DENMARK A/S,12/9/2025,12/15/2025,Corporate,3.701774,1,99999,7.614749,PRIVATE/INTERNAL FLIGHTS INCUR MOT. RESELLERS INCUR VAT ON ALL UPLIFTS. EXTENDED WING SERVICE ADDITIONAL 110 DKK. 495 DKK INFRASTRUCRE FEE STANDARD. ,No
